Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,BRA,GDP (current US$),769305000000.0,850426000000.0,883200000000.0,863723000000.0,599389000000.0,655421000000.0,559372000000.0,507962000000.0,558320000000.0,669317000000.0,891630000000.0,1107640000000.0,1397080000000.0,1695820000000.0,1667020000000.0,2208870000000.0,2616200000000.0,2465190000000.0,2472810000000.0,2455990000000.0,1802210000000.0,1796280000000.0,2053590000000.0
Barbados,BRB,GDP (current US$),2261969870.0,2411872918.0,2549296475.0,2874459305.0,3012081738.0,3121500000.0,3116650000.0,3169600000.0,3274850000.0,3514350000.0,3897300000.0,4217450800.0,4674007450.0,4784925100.0,4465657300.0,4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4725500000.0,4840500000.0,4989500000.0
Brunei Darussalam,BRN,GDP (current US$),4734020037.0,5115602837.0,5197332974.0,4051147228.0,4600000000.0,6001153306.0,5601090584.0,5843329108.0,6557333085.0,7872333215.0,9531402848.0,11470703002.0,12247694247.0,14393099069.0,10732366286.0,13707370737.0,18525319978.0,19048495519.0,18093829923.0,17098342541.0,12930394938.0,11400854268.0,12128104859.0
Bhutan,BTN,GDP (current US$),303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019.0,818869145.1,897731524.9,1196091805.0,1258332337.0,1264758198.0,1585472534.0,1820207626.0,1823692110.0,1798333726.0,1976938530.0,2059809920.0,2219675781.0,2528007911.0
Botswana,BWA,GDP (current US$),4730611067.0,4847752843.0,5020214747.0,4790458837.0,5484257417.0,5788329609.0,5489608300.0,5438857107.0,7511582173.0,8957467707.0,9931134941.0,10126940513.0,10939053365.0,10945070442.0,10267133178.0,12786654366.0,15351972230.0,16067155187.0,14901750765.0,16250750259.0,14420604206.0,15646316818.0,17405538618.0
Central African Republic,CAF,GDP (current US$),1115389732.0,1007791186.0,937741468.0,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799.0,1270080251.0,1337362392.0,1460561215.0,1697565949.0,1985240986.0,2059094048.0,2140503193.0,2434792413.0,2510270268.0,1691063477.0,1892292912.0,1695143880.0,1823779165.0,2067230996.0
Canada,CAN,GDP (current US$),604032000000.0,628546000000.0,652824000000.0,631813000000.0,676084000000.0,742295000000.0,736380000000.0,757951000000.0,892382000000.0,1023200000000.0,1169360000000.0,1315420000000.0,1464980000000.0,1549130000000.0,1371150000000.0,1613540000000.0,1789140000000.0,1823970000000.0,1842020000000.0,1801480000000.0,1552900000000.0,1526710000000.0,1646870000000.0
Central Europe and the Baltics,CEB,GDP (current US$),392391000000.0,414969000000.0,409094000000.0,447743000000.0,433962000000.0,427456000000.0,467920000000.0,527160000000.0,632781000000.0,761646000000.0,884988000000.0,1001250000000.0,1264980000000.0,1530580000000.0,1288240000000.0,1313430000000.0,1446680000000.0,1352670000000.0,1422730000000.0,1465590000000.0,1289640000000.0,1317000000000.0,1457180000000.0
Switzerland,CHE,GDP (current US$),342617000000.0,330091000000.0,286519000000.0,295045000000.0,289913000000.0,272055000000.0,278631000000.0,301417000000.0,352915000000.0,394164000000.0,408689000000.0,430921000000.0,479913000000.0,554363000000.0,541506000000.0,583783000000.0,699580000000.0,668043000000.0,688504000000.0,709182000000.0,679832000000.0,671309000000.0,679951000000.0
Channel Islands,CHI,GDP (current US$),0.0,0.0,0.0,5945677377.0,6262740657.0,6439703435.0,6232906290.0,6663669065.0,7332244898.0,8553643354.0,8827272727.0,9676172953.0,11514605842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,CHL,GDP (current US$),73447063319.0,78039572222.0,84952360922.0,81577430181.0,75173794497.0,77860932152.0,70979923960.0,69736811435.0,75643459840.0,99210392858.0,122965000000.0,154788000000.0,173606000000.0,179638000000.0,172389000000.0,218538000000.0,252252000000.0,267122000000.0,278384000000.0,260542000000.0,243919000000.0,250340000000.0,277746000000.0
China,CHN,GDP (current US$),734548000000.0,863747000000.0,961604000000.0,1029040000000.0,1094000000000.0,1211350000000.0,1339400000000.0,1470550000000.0,1660290000000.0,1955350000000.0,2285970000000.0,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10438500000000.0,11015500000000.0,11137900000000.0,12143500000000.0
Cote d'Ivoire,CIV,GDP (current US$),11000146839.0,12139234939.0,11722142706.0,12612033729.0,12376639823.0,10717022463.0,11192560827.0,12346919216.0,15306602560.0,16554441847.0,17084928927.0,17800887796.0,20343635320.0,24224903100.0,24277493862.0,24884505035.0,25381616734.0,26790579775.0,31264187110.0,35316491207.0,33131114322.0,35296977344.0,38053606751.0
Cameroon,CMR,GDP (current US$),9643953175.0,10513387442.0,10833497458.0,10612847429.0,11198378749.0,10083937740.0,10371327756.0,11579343088.0,14548845765.0,17430933517.0,17944084201.0,19356046328.0,22365265026.0,26409781215.0,26017925552.0,26143818510.0,29337006833.0,29104437355.0,32348149947.0,34942948737.0,30916218544.0,32621535419.0,34922782311.0
"Congo, Dem. Rep.",COD,GDP (current US$),5643439376.0,5771454940.0,6090840548.0,6215591270.0,4711259427.0,19088046306.0,7438189100.0,8728038525.0,8937567060.0,10297483481.0,11964484668.0,14451902468.0,16737071816.0,19788515874.0,18648373312.0,21565720044.0,25839749199.0,29306235826.0,32679745298.0,35909040266.0,37917704900.0,37134799975.0,38019265626.0
"Congo, Rep.",COG,GDP (current US$),2116003978.0,2540697688.0,2322718991.0,1949481297.0,2353909564.0,3219910550.0,2794259783.0,3019993739.0,3495868808.0,4648628921.0,6087003176.0,7731261311.0,8394688284.0,11859013281.0,9593537551.0,12007880439.0,14425607180.0,13677930124.0,14085851348.0,14177437982.0,8553154580.0,9035848071.0,8701334800.0
Colombia,COL,GDP (current US$),92507279383.0,97160109278.0,106660000000.0,98443739941.0,86186158685.0,99886577331.0,98211749596.0,97963003805.0,94641378693.0,117082000000.0,145181000000.0,161190000000.0,205707000000.0,241711000000.0,232494000000.0,286104000000.0,334454000000.0,370574000000.0,381867000000.0,381112000000.0,293482000000.0,282825000000.0,311790000000.0
Comoros,COM,GDP (current US$),398461789.6,396053797.6,364445589.7,370106776.0,382454989.9,350264287.7,378180913.4,423962976.7,545658929.0,632570092.2,653584808.7,697810988.1,794621676.5,911967428.7,901711442.3,907093130.3,1021746833.0,1015901205.0,1115906342.0,1148058015.0,965640593.0,1012147324.0,1074778461.0
Cabo Verde,CPV,GDP (current US$),487148993.5,501979069.3,490608657.9,521910560.5,592416703.1,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063.0,1513933983.0,1789333749.0,1711817182.0,1664310770.0,1865915544.0,1741809809.0,1850470042.0,1859898513.0,1596800287.0,1663008687.0,1769787215.0
Costa Rica,CRI,GDP (current US$),11513472786.0,11618286652.0,12552071488.0,13617405297.0,14195623343.0,14949514493.0,15913363441.0,16504795593.0,17196009811.0,18528955525.0,19948261084.0,22602721765.0,26743972564.0,30612927059.0,30562361123.0,37268614024.0,42262697840.0,46473128286.0,49745088112.0,50577769838.0,54775994479.0,57157992434.0,58174549218.0
Caribbean small states,CSS,GDP (current US$),21998219146.0,24020648584.0,28143635564.0,30069769930.0,31872310302.0,34177854568.0,35220883618.0,36957890226.0,39498913009.0,43222083510.0,48878881371.0,54606931072.0,60908386444.0,69109699222.0,58164549489.0,63277133287.0,68420393697.0,70684558867.0,72051031654.0,72989135760.0,71648867904.0,68106378710.0,69602182809.0
Cuba,CUB,GDP (current US$),30429803651.0,25017368700.0,25365908100.0,25736331200.0,28364615200.0,30565400000.0,31682400000.0,33590500000.0,35901200000.0,38203000000.0,42643836100.0,52742800000.0,58603900000.0,60806300000.0,62080000000.0,64328000000.0,68990000000.0,73141000000.0,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0
Curacao,CUW,GDP (current US$),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038699609.0,3131096089.0,3147616201.0,3158406034.0,3151910782.0,3122287933.0,3116610112.0
Cayman Islands,CYM,GDP (current US$),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315972639.0,4227798032.0,4466503540.0,4586172567.0,4281813033.0,4156935677.0,4186223809.0,4291159006.0,4405954638.0,4563017881.0,4708336733.0,4898908676.0,5141833913.0
Cyprus,CYP,GDP (current US$),9933133247.0,10011918444.0,9547818700.0,10248617647.0,10497908306.0,9985844486.0,10397897086.0,11420227885.0,14547325028.0,17320552500.0,18433411267.0,20072786351.0,23968764030.0,27844698989.0,25945391775.0,25732432719.0,27565469098.0,24978513427.0,23900872626.0,23128114787.0,19779150116.0,20890936462.0,22638608224.0
Czech Republic,CZE,GDP (current US$),59775697061.0,66985765439.0,61792161168.0,66490372105.0,64867483193.0,61649492817.0,67523642262.0,81910771994.0,99627140274.0,119162000000.0,136281000000.0,155464000000.0,189227000000.0,235719000000.0,206180000000.0,207478000000.0,227948000000.0,207376000000.0,209402000000.0,207818000000.0,186830000000.0,195090000000.0,215914000000.0
Germany,DEU,GDP (current US$),2585790000000.0,2497240000000.0,2211990000000.0,2238990000000.0,2194200000000.0,1943150000000.0,1944110000000.0,2068620000000.0,2496130000000.0,2809190000000.0,2845800000000.0,2992200000000.0,3421230000000.0,3730030000000.0,3397790000000.0,3396350000000.0,3744410000000.0,3527340000000.0,3732740000000.0,3883920000000.0,3360550000000.0,3466790000000.0,3656750000000.0
Djibouti,DJI,GDP (current US$),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042817163.0,2216200810.0,2445484583.0,2618587757.0,2766868072.0
Dominica,DMA,GDP (current US$),274522148.1,292286000.0,302989185.2,322409851.9,331759000.0,333468888.9,340205074.1,333195185.2,343310666.7,367199111.1,364255074.1,390250148.1,421375851.9,458190185.2,489074333.3,493824407.4,501025296.3,485998000.0,498296296.3,520207407.4,540737037.0,576229629.6,519837037.0
Denmark,DNK,GDP (current US$),185007000000.0,187632000000.0,173538000000.0,176992000000.0,177965000000.0,164159000000.0,164791000000.0,178635000000.0,218096000000.0,251373000000.0,264467000000.0,282885000000.0,319423000000.0,353361000000.0,321241000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,302673000000.0,313116000000.0,329417000000.0
Dominican Republic,DOM,GDP (current US$),16598679279.0,18241691857.0,20017908829.0,21672526563.0,22137599986.0,24305116729.0,25599311449.0,27362875603.0,21642882856.0,22692574473.0,36119047252.0,38116351526.0,43965459070.0,48122601589.0,48261079523.0,53860187453.0,58029773801.0,60681535893.0,62682158701.0,67179956264.0,71164826721.0,75704647977.0,79998045976.0
Algeria,DZA,GDP (current US$),41764052458.0,46941496780.0,48177862502.0,48187747529.0,48639108361.0,54786074940.0,54743249369.0,56758113501.0,67866141224.0,85324767230.0,103198000000.0,117031000000.0,134979000000.0,170998000000.0,137215000000.0,161205000000.0,200015000000.0,209063000000.0,209755000000.0,213809000000.0,165978000000.0,160033000000.0,167390000000.0
